category,group_code,group_label,division,division_label,annual_spending_euros_2017,budget_share,division_rate,contribution_points
lieu_de_residence,1,Petites villes (< 20 000 hab.),05,Meubles et entretien du foyer,1647,0.061959220525167405,-0.019932230416597196,-0.001234985459940395
lieu_de_residence,1,Petites villes (< 20 000 hab.),06,Santé,477,0.01794447370401023,-0.5128720836685363,-0.009203219618910985
lieu_de_residence,1,Petites villes (< 20 000 hab.),07,Transports,4663,0.17541945677526147,6.9813176007866184,1.2246589411055604
lieu_de_residence,1,Petites villes (< 20 000 hab.),08,Information et communication,735,0.027650289669701303,4.937399030694678,0.1365205134136103
lieu_de_residence,1,Petites villes (< 20 000 hab.),09,Loisirs et culture,2484,0.09344669325107216,-0.4483867823374621,-0.04190026210692408
lieu_de_residence,1,Petites villes (< 20 000 hab.),10,Enseignement,130,0.0048905274245730195,4.728440919586374,0.02312456999271043
lieu_de_residence,1,Petites villes (< 20 000 hab.),11,Restauration et hébergement,1624,0.061093973365435254,1.8669446550416913,0.1140590670298588
lieu_de_residence,1,Petites villes (< 20 000 hab.),12,Autres biens et services,4425,0.16646602964412008,2.838363811631961,0.47249115440792366
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),01,Alimentation et boissons non alcoolisées,4132,0.16251081570046408,1.1523941982912733,0.18727652117279717
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),02,Boissons alcoolisées et tabac,707,0.027806182647683475,1.8773716796484985,0.05220253982189446
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),03,Habillement et chaussures,1274,0.050106190513647446,-1.479379876380582,-0.07412608992798166
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),04,"Logement, eau et énergie",4288,0.16864626760009438,3.576437587657799,0.6031528504631732
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),05,Meubles et entretien du foyer,1332,0.0523873200660741,-0.019932230416597196,-0.0010441961344650147
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),06,Santé,476,0.018720994257846298,-0.5128720836685363,-0.009601475333368335
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),07,Transports,4295,0.16892157633918037,6.9813176007866184,1.1792951740493403
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),08,Information et communication,710,0.02792417210729175,4.937399030694678,0.13787278029549366
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),09,Loisirs et culture,2227,0.08758750884920947,-0.4483867823374621,-0.03927308126585102
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),10,Enseignement,185,0.007276016675843625,4.728440919586374,0.034404214981651825
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),11,Restauration et hébergement,1674,0.06583811846141745,1.8669446550416913,0.12291612335954501
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),12,Autres biens et services,4126,0.16227483678124754,2.838363811631961,0.4605950242583761
lieu_de_residence,3,Grandes villes (> 100 000 hab.),01,Alimentation et boissons non alcoolisées,4223,0.15743364151506115,1.1523941982912733,0.18142561509782462
lieu_de_residence,3,Grandes villes (> 100 000 hab.),02,Boissons alcoolisées et tabac,791,0.029488517745302714,1.8773716796484985,0.05536090808984351
lieu_de_residence,3,Grandes villes (> 100 000 hab.),03,Habillement et chaussures,1400,0.05219206680584551,-1.479379876380582,-0.07721189333927882
lieu_de_residence,3,Grandes villes (> 100 000 hab.),04,"Logement, eau et énergie",4668,0.1740232627497763,3.576437587657799,0.6223833380251493
lieu_de_residence,3,Grandes villes (> 100 000 hab.),05,Meubles et entretien du foyer,1482,0.05524903071875932,-0.019932230416597196,-0.0011012364105799674
lieu_de_residence,3,Grandes villes (> 100 000 hab.),06,Santé,488,0.018192663286609005,-0.5128720836685363,-0.009330509127283242
lieu_de_residence,3,Grandes villes (> 100 000 hab.),07,Transports,4097,0.15273635550253503,6.9813176007866184,1.06630100694985
lieu_de_residence,3,Grandes villes (> 100 000 hab.),08,Information et communication,733,0.027326274977631973,4.937399030694678,0.13492072358705634
lieu_de_residence,3,Grandes villes (> 100 000 hab.),09,Loisirs et culture,2514,0.09372203996421115,-0.4483867823374621,-0.042023723933655666
lieu_de_residence,3,Grandes villes (> 100 000 hab.),10,Enseignement,251,0.009357291977333732,4.728440919586374,0.04424540228214211
lieu_de_residence,3,Grandes villes (> 100 000 hab.),11,Restauration et hébergement,1980,0.07381449448255294,1.8669446550416913,0.1378075759388066
lieu_de_residence,3,Grandes villes (> 100 000 hab.),12,Autres biens et services,4197,0.15646436027438115,2.838363811631961,0.44410277801294884
lieu_de_residence,4,Agglomération parisienne,01,Alimentation et boissons non alcoolisées,4687,0.1475198287800579,1.1523941982912733,0.17000099481906072
lieu_de_residence,4,Agglomération parisienne,02,Boissons alcoolisées et tabac,803,0.025273826010323554,1.8773716796484985,0.04744836518814504
lieu_de_residence,4,Agglomération parisienne,03,Habillement et chaussures,1594,0.050169960971924964,-1.479379876380582,-0.07422043066066498
lieu_de_residence,4,Agglomération parisienne,04,"Logement, eau et énergie",6338,0.19948382223341307,3.576437587657799,0.7134414399652251
lieu_de_residence,4,Agglomération parisienne,05,Meubles et entretien du foyer,1673,0.05265642704267909,-0.019932230416597196,-0.0010495600367294194
lieu_de_residence,4,Agglomération parisienne,06,Santé,643,0.02023794536069495,-0.5128720836685363,-0.010379477206309606
lieu_de_residence,4,Agglomération parisienne,07,Transports,4351,0.13694447941583784,6.9813176007866184,0.9560529044763495
lieu_de_residence,4,Agglomération parisienne,08,Information et communication,774,0.02436107264257837,4.937399030694678,0.12028033645214908
lieu_de_residence,4,Agglomération parisienne,09,Loisirs et culture,3125,0.09835704393805866,-0.4483867823374621,-0.04410199845161051
lieu_de_residence,4,Agglomération parisienne,10,Enseignement,368,0.011582525494145788,4.728440919586374,0.05476728749867133
lieu_de_residence,4,Agglomération parisienne,11,Restauration et hébergement,2991,0.09413949389399472,1.8669446550416913,0.17575322495372336
lieu_de_residence,4,Agglomération parisienne,12,Autres biens et services,4425,0.13927357421629108,2.838363811631961,0.3953090729721587
lieu_de_residence,TOT,Ensemble,01,Alimentation et boissons non alcoolisées,4410,0.16089605603998686,1.1523941982912733,0.18541568150842844
lieu_de_residence,TOT,Ensemble,02,Boissons alcoolisées et tabac,788,0.028749680761793572,1.8773716796484985,0.05397383646112652
lieu_de_residence,TOT,Ensemble,03,Habillement et chaussures,1374,0.050129519500893865,-1.479379876380582,-0.07416060236225035
lieu_de_residence,TOT,Ensemble,04,"Logement, eau et énergie",4454,0.16250136816374183,3.576437587657799,0.5811760011466247
lieu_de_residence,TOT,Ensemble,05,Meubles et entretien du foyer,1558,0.056842642927505564,-0.019932230416597196,-0.0011330006563194
lieu_de_residence,TOT,Ensemble,06,Santé,505,0.01842460505673319,-0.5128720836685363,-0.009449465586216602
lieu_de_residence,TOT,Ensemble,07,Transports,4482,0.16352293042431318,6.9813176007866184,1.1416055123034632
lieu_de_residence,TOT,Ensemble,08,Information et communication,743,0.027107884271589625,4.937399030694678,0.1338424415267301
lieu_de_residence,TOT,Ensemble,09,Loisirs et culture,2566,0.093618884308074,-0.4483867823374621,-0.04197747030092042
lieu_de_residence,TOT,Ensemble,10,Enseignement,214,0.007807654420080995,4.728440919586374,0.0369180326459004
lieu_de_residence,TOT,Ensemble,11,Restauration et hébergement,1972,0.07194717063738189,1.8669446550416913,0.13432138566683263
lieu_de_residence,TOT,Ensemble,12,Autres biens et services,4343,0.15845160348790543,2.838363811631961,0.4497432972351274
type_de_menage,1,Personnes seules,01,Alimentation et boissons non alcoolisées,2529,0.14606676677832967,1.1523941982912733,0.16832649459851162
type_de_menage,1,Personnes seules,02,Boissons alcoolisées et tabac,588,0.03396095645142659,1.8773716796484985,0.06375733785568426
type_de_menage,1,Personnes seules,03,Habillement et chaussures,729,0.04210465519232991,-1.479379876380582,-0.06228877959347605
type_de_menage,1,Personnes seules,04,"Logement, eau et énergie",4190,0.2420006930807439,3.576437587657799,0.8655003749732112
type_de_menage,1,Personnes seules,05,Meubles et entretien du foyer,913,0.05273189326556544,-0.019932230416597196,-0.0010510642468726603
type_de_menage,1,Personnes seules,06,Santé,326,0.018828693542797734,-0.5128720836685363,-0.009656711290050989
type_de_menage,1,Personnes seules,07,Transports,2149,0.12411920988795194,6.9813176007866184,0.8665156245864873
type_de_menage,1,Personnes seules,08,Information et communication,517,0.02986022871664549,4.937399030694678,0.14743186432188682
type_de_menage,1,Personnes seules,09,Loisirs et culture,1637,0.09454776481460091,-0.4483867823374621,-0.04239396804241802
type_de_menage,1,Personnes seules,10,Enseignement,68,0.003927457548804436,4.728440919586374,0.01857075098370529
type_de_menage,1,Personnes seules,11,Restauration et hébergement,1090,0.06295483423818875,1.8669446550416913,0.11753319129002214
type_de_menage,1,Personnes seules,12,Autres biens et services,2578,0.14889684648261522,2.838363811631961,0.4226234207223747
type_de_menage,2,Familles monoparentales,01,Alimentation et boissons non alcoolisées,3597,0.15045802484627932,1.1523941982912733,0.17338695491921655
type_de_menage,2,Familles monoparentales,02,Boissons alcoolisées et tabac,687,0.02873635336930606,1.8773716796484985,0.05394881599190691
type_de_menage,2,Familles monoparentales,03,Habillement et chaussures,1481,0.06194838331869327,-1.479379876380582,-0.09164519165598536
type_de_menage,2,Familles monoparentales,04,"Logement, eau et énergie",4717,0.19730622830133435,3.576437587657799,0.7056534111758832
type_de_menage,2,Familles monoparentales,05,Meubles et entretien du foyer,1058,0.04425482076379303,-0.019932230416597196,-0.0008820972845091326
type_de_menage,2,Familles monoparentales,06,Santé,446,0.018655623875852262,-0.5128720836685363,-0.009567948689344845
type_de_menage,2,Familles monoparentales,07,Transports,3591,0.1502070523277701,6.9813176007866184,1.048643138178138
type_de_menage,2,Familles monoparentales,08,Information et communication,783,0.03275191366545363,4.937399030694678,0.16170926678520653
type_de_menage,2,Familles monoparentales,09,Loisirs et culture,2008,0.08399213619442004,-0.4483867823374621,-0.03766096368986589
type_de_menage,2,Familles monoparentales,10,Enseignement,277,0.01158656460450914,4.728440919586374,0.05478638619339213
type_de_menage,2,Familles monoparentales,11,Restauration et hébergement,1785,0.07466432425649391,1.8669446550416913,0.13939416109296102
